episode;steps;reward;average
425;424;207.58727778977374;148.20522114253083
426;214;231.05223454713638;151.542948630022
427;312;-20.563461977137507;150.82206362596241
428;419;284.4694129062137;152.5035035393969
429;315;267.8434971112225;154.41168116195988
430;321;290.3621217067176;154.49408064501287
431;223;-174.04567070325157;151.32729394648038
432;499;155.99852998863014;151.8448110826323
433;418;240.71295201370688;153.21290272111517
434;499;96.15978344308606;151.8623133812883
435;385;253.6759992217197;152.7733849515192
436;332;266.0434775914352;154.7723198428712
437;312;236.1490793612427;155.9373599276415
438;496;191.80814185657795;156.31250769975634
439;247;263.1834622850529;158.29473931898903
440;283;275.8632226953908;159.81391021712264
441;383;270.8997986260799;161.43836336173337
442;499;128.61196544951065;162.77818023841206
443;415;215.56368998495623;162.1364105380765
444;320;248.72863106405876;163.18976317941994
445;499;157.4355827674176;163.619539809911
446;429;205.16942561850567;164.50733631184147
447;393;275.7625856734023;165.57487642359698
448;480;255.83035058349756;166.683611161018
449;480;263.38556122961853;167.93935041551183
450;479;231.73821589921806;168.7486069974748
451;499;85.29087626473148;167.9047082428332
452;499;169.378555046078;168.30260052295836
453;299;236.9823909606308;169.6902341180057
454;499;81.67062434938775;169.4249008558772
455;253;264.24578989188205;171.55677941982518
456;296;246.14424151328606;172.99439176854648
457;341;221.94037027698795;172.6587370153772
458;499;107.29307399161188;172.40670156603414
459;499;110.28495958627428;172.06750697287848
460;499;26.652579958107808;171.24102954326386
461;392;267.5550387600995;173.21481927024467
462;499;102.6319785656929;172.18663724978202
463;452;243.78854724742982;173.34359815150592
464;298;250.55615378513656;174.1265986629994
465;289;313.8449401443758;175.82558402756496
466;499;85.97915579597702;175.7922480132593
467;242;256.6597815537569;177.22911706464865
468;260;284.0514481695111;178.95567095096078
469;454;275.9342935130937;181.2700372234616
470;499;79.63844059008291;180.4836948128841
471;304;207.0053927784898;180.86896516010063
472;351;274.3438667521168;182.46011181503346
473;499;140.10288207903423;182.5485107505647
474;499;39.539648687092004;181.57453876202234
475;410;227.13767263404424;181.33361712187377
476;394;262.1787613828093;182.2179839583795
477;499;13.276217037646855;179.7457826337892
478;499;43.570061637405296;179.5898389008489
479;377;288.35325946372654;181.09778429574553
480;499;138.55123930299624;179.85835309911778
481;499;137.12705713163342;180.36657867406805
482;237;245.7053238079322;181.43698268408522
483;432;261.9218604059242;182.58804878947802
484;499;70.98509403427238;182.49708285148128
485;475;271.1428688918031;184.19270898893558
486;499;138.29455438809046;183.1771231065521
487;499;136.70851424355044;183.71784284471846
488;201;286.89127376679164;183.76927538665316
489;467;246.88920466745682;183.81393280917075
490;397;268.9183280566931;185.504052134339
491;499;48.80470335029037;184.594636165993
492;499;112.1668104573769;183.6033393242256
493;286;239.3996448090302;183.84289233844015
494;325;239.1471723449055;184.65335445807787
495;234;256.09460037725137;185.4319200612098
496;405;224.52192117694648;186.34174798391152
497;287;219.6385923287774;188.47584681184276
498;337;195.0308494417916;187.96455907574568
499;255;276.59049655023284;189.3977432408502
500;455;250.36019549274937;190.96499011460426
501;499;44.73470982411631;190.49292275027787
502;499;23.47106719296805;189.57971658091748
503;499;55.11610590587116;189.38599433007096
504;443;205.45323042946006;189.78917392603887
505;322;182.06515870456172;189.02871043073876
506;114;-48.676459294407366;187.08031626404204
507;412;241.34165548518916;187.56921178470589
508;395;227.22076860136235;187.3219375356305
509;499;142.49244890709898;188.31483492827908
510;424;274.1646988866652;189.806295465263
511;499;55.78694529405479;187.91405618895038
512;499;146.24048920424164;187.1918821315451
513;499;103.6366675809797;185.77413807865798
514;355;232.311895690404;185.21344245521
515;423;143.19222491939996;184.0782595537239
516;239;267.6584700504477;184.21802383542087
517;282;267.2067265263666;184.06102588981923
518;309;291.8445338629855;184.69628804917474
519;499;55.474377681370086;183.2679176407899
520;368;271.2609378497544;185.55698847464473
521;331;285.15385352682915;186.83514715778506
522;337;193.35879332884772;186.82421674768852
523;499;85.65883349601395;186.7137912426939
524;386;295.96756596302464;188.32482873794382
525;324;246.3245916754365;188.71220187680044
526;455;221.14353308465462;188.61311486217562
527;499;23.167828527290826;189.05042776721993
528;499;109.24666392055913;187.2982002773634
529;288;272.54924690618077;187.34525777531292
530;207;243.00914068865612;186.87172796513235
531;295;269.47379510573114;191.3069226232222
532;400;232.4006618464601;192.07094394180046
533;491;260.2967212005271;192.2667816336687
534;307;289.40684188837236;194.1992522181216
535;380;241.46468890760042;194.07713911498035
536;451;206.85650852841923;193.48526942435024
537;499;131.4889738218597;192.43866836895634
538;499;162.25086297887117;192.14309558017928
539;366;255.70139496004438;192.06827490692922
540;256;255.70178372740733;191.86666051724933
541;493;281.6101903385594;191.97376443437417
542;253;310.3021938258542;193.79066671813757
543;449;245.092675705205;194.08595657534005
544;332;269.5285584559724;194.2939558492592
545;335;214.93658264906952;194.8689658480757
546;364;259.12560072349925;195.40852759912568
547;499;130.1650393988585;193.9525521363802
548;339;265.7786938800834;194.0520355693461
549;249;278.53245649183407;194.20350452196826
