episode;steps;reward;average
513;101;23.499929226544808;168.38435057404743
514;95;-141.45195538660255;166.29115823610152
515;397;292.53898088069343;169.0385744122768
516;499;131.73317261172036;170.39852667739407
517;94;32.18337690299376;168.0756337213353
518;424;229.2892839792472;170.33933832606814
519;210;270.20835152079667;172.61715670295
520;285;-18.78680621345137;171.07559433724856
521;353;263.5482938166203;173.19069537130062
522;494;155.2632864519157;173.68436620359796
523;469;251.3734813329556;175.58532604918318
524;499;34.46782489001434;174.43949159841898
525;428;240.95331826999893;177.0736465780501
526;239;241.8376800777353;178.78066180662879
527;314;284.13208484846996;179.24706424841915
528;499;62.65262306905569;180.1768813787504
529;499;89.2202410413033;178.90564684871921
530;250;302.6678734309914;180.35259325731525
531;356;248.95733426906804;182.25226301528528
532;499;72.74936069098193;181.6558752306404
533;333;254.4153774784357;183.41469956589418
534;491;251.97675106787864;186.63333573738615
535;332;242.2186546197905;188.55780261834892
536;471;272.2452981822941;190.47446209577026
537;485;239.51762189610818;192.01408628962207
538;499;111.63246575346244;190.1908670091552
539;426;225.33669398169474;189.66965953635867
540;374;273.7613866742681;190.12297876315017
541;259;276.9688601091431;191.27804797463617
542;397;255.61067265253524;192.20628613715064
543;322;188.55144234201873;191.35204624845102
544;208;297.393517853326;191.94979989868088
545;219;243.89396852833644;192.94000439491305
546;354;253.3939701174859;197.05489067489486
547;92;19.658899444052267;194.88003910824614
548;281;285.70881055857313;197.45880289862816
549;292;253.28992249643682;197.7414925446692
550;499;103.28418619426074;196.17233735028037
551;304;256.481212266419;197.26110656164713
552;307;290.92300888001836;197.85633634644654
553;443;258.70733849566466;197.92102951769655
554;329;254.75336919131882;198.29330263241457
555;245;275.93909425965717;198.63487572059236
556;217;245.46897364719464;200.25846895909388
557;285;223.00343457405148;201.32637012406397
558;333;207.24217731387282;200.93861402582397
559;225;284.35973129354295;200.89843369262906
560;267;249.434120297438;202.3599427771802
561;499;109.50750130761423;201.91544236789386
562;223;265.13183801028333;201.9410029743659
563;499;88.59977907908014;200.27497307653744
564;362;281.7136574948432;199.99006244652864
565;388;246.7572506806982;199.94489317300906
566;355;275.21003636981754;201.49546969616063
567;270;234.81993505690423;202.99385179987857
568;435;249.3065485797194;204.80496067349378
569;279;258.3817015203928;204.61879752371394
570;440;260.4134887988303;204.8607527907435
571;256;243.54182274462113;204.79116864940602
572;229;285.3489517730109;205.25197560285918
573;261;286.7954743623703;205.41511785842044
574;278;295.94497314490684;205.93492097886948
575;416;241.10903281499697;205.77293642657588
576;247;298.16020725540625;207.47374082143622
577;248;287.8779426411268;208.23992869711338
578;308;290.78966385155655;208.2779650764659
579;399;243.70482613963608;209.9314574339306
580;215;268.355389452726;210.43986167063815
581;94;40.682814170893096;209.34050662948763
582;263;241.6676381530402;209.6628167513462
583;245;268.6287619186836;209.7610129270293
584;281;240.08205766300088;211.40344998039353
585;242;303.5546155574706;213.40766668841184
586;311;263.28608709370087;213.58564372750465
587;240;251.7696749838158;213.25722032835654
588;232;292.54015236746517;214.30254822139875
589;275;257.7965152650352;215.48269359750967
590;240;288.59418343674486;215.9970318925333
591;344;260.8411821537269;217.3730143349016
592;388;224.8536159957995;217.12252778266742
593;300;262.9951504265883;216.77105654545457
594;295;249.39227246453277;216.29276704902338
595;212;305.4536848839949;216.70463612434767
596;220;260.7494412168553;217.45320808228098
597;224;270.12665781998135;217.36457847309453
598;478;251.98518953939913;217.66131898026453
599;218;278.25835619790234;219.33141797320906
600;343;259.6241600256458;220.33826764694223
601;499;112.96048568759497;218.89221307269446
602;298;-378.2132581461684;213.62541605414532
603;242;278.3658794677252;214.0370710523241
604;337;281.3951900438617;215.53894898672723
605;412;145.3791995714252;214.5472817192497
606;265;274.8492937729354;214.43341703180266
607;285;244.14315284995808;215.4755049387709
608;272;269.2840425126186;215.73425247328316
609;217;232.2648907080707;215.55895534041693
610;341;280.7350430070566;217.52414982980957
611;266;291.61366241855296;220.5083398249371
612;390;242.9117211694025;220.22250231356182
613;473;205.6035168519396;222.04353818981582
614;294;225.83042522283486;225.71636199591015
615;225;272.13146768332234;225.51228686393642
616;317;281.04466599358204;227.00540179775504
617;211;285.49053353341685;229.5384733640592
618;279;243.1305840149143;229.6768863644159
619;301;266.7259150830754;229.64206200003866
620;238;225.4478487511857;232.08440854968507
621;187;240.87796569542624;231.8577052684731
622;277;224.93523167321968;232.55442472068617
623;499;151.11808116674305;231.551870719024
624;241;258.3229836503357;233.79042230662725
625;206;249.69646686511393;233.87785379257838
626;275;286.0444267911778;234.31992125971286
627;90;20.561481713502374;231.68421522836314
628;276;268.7419063664412;233.74510806133705
629;189;243.68871200625802;235.28979277098657
630;499;154.75809571829578;233.8106949938596
631;211;264.8791755564954;233.96991340673387
632;275;226.49761059209303;235.50739590574503
633;214;265.6765089191514;235.6200072201522
634;297;277.34917804989857;235.87373148997239
635;207;323.2332068740436;236.68387701251493
636;198;262.093573727094;236.58235976796294
637;237;245.10113373550737;236.63819488635693
638;264;281.27119126834776;238.3345821415058
639;229;268.1130645863137;238.76234584755196
640;209;251.4351077565049;238.53908305837433
641;318;303.4898589872041;238.80429304715489
642;244;259.63327929164444;238.84451911354597
643;185;252.00887968129757;239.47909348693875
644;239;233.57598806548913;238.8409181890604
645;214;258.840966321671;238.99038816699374
646;215;275.39597718409277;239.21040823765983
647;238;245.4433977405016;241.46825322062435
648;433;292.733644700838;241.53850156204697
649;209;304.3273054155269;242.04887539123789
650;239;237.9118281539443;243.39515181083473
651;258;261.60380203628046;243.44637770853333
652;280;257.69810792627317;243.11412869899587
653;205;265.34652806000474;243.18052059463926
654;313;287.5835443341613;243.5088223460677
655;251;282.3049320696546;243.5724807241677
656;175;291.7100711648874;244.03489169934463
657;308;271.12068976236174;244.51606425122776
658;499;134.82613371660705;243.79190381525513
659;245;296.2775770628785;243.91108227294848
660;321;214.86178691042528;243.5653589390783
661;205;302.19090330181155;245.4921929590203
662;410;245.37020547219518;245.29457663363937
663;278;282.51128756869775;247.23369171853557
664;229;268.4547690465854;247.101102834053
665;328;250.40422375923023;247.13757256483825
666;277;285.7395143181625;247.24286734432172
667;263;266.46662637098893;247.55933425746258
668;338;249.9242703775045;247.56551147544045
669;93;31.907327079806294;245.30076773103457
670;240;292.1311663286197;245.61794450633252
671;259;274.13003541705575;245.92382663305685
672;223;276.0032940506585;245.8303700558333
673;291;242.0286404664145;245.38270171687375
674;317;274.1660318229518;245.1649123036542
675;223;262.75603487390424;245.38138232424325
676;270;234.19259024159277;244.7417061541051
677;479;248.8632010546268;244.35155873824013
678;209;248.2966524639574;243.92662862436413
679;286;264.3569279956074;244.13314964292385
